timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1719568252454416859,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.501,1729.24,,,,,,,,,,,
1719568252454436140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642158,0.607569,0.38659,0.690857,,,,,,,
1719568252456005416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252456098712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20395,88.4146,93.9666,60.3018
1719568252458182865,1719568252.0,458079766.0,,,,,,,,0.0003863949257679,0.0012427069956677,0.000629440147124,0.0014456198029054,0.0004220446660442,-0.0003643103379925,-0.0018030500673161,0.0018872819788662,,,,,,,,,,,,,,,,,,,,,,
1719568252458191207,1719568252.0,458033141.0,-0.0450153848727341,-0.6356003461512513,1.7787096731530927,9.601395511546872e-05,0.0002132995861947,-5.195092715808063e-05,0.9999999712928538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252458196890,1719568252.0,458088579.0,,,,,,,,,,,,,,,,0.0506106917346094,0.1235943778681303,0.0729604194308564,0.152184871659414,-0.001466452306667,-0.0001238773665929,-0.0019138043508587,0.0024142234907002,,,,,,,,,,,,,,
1719568252458216002,1719568252.0,458108152.0,,,,,,,,-0.0002553180083411,0.0007204101235558,-0.0004659411831831,0.0008951420097901,-0.0011266818588616,-0.0006881985497539,0.0037796591332532,0.0040036049278813,,,,,,,,,,,,,,,,,,,,,,
1719568252458220126,1719568252.0,458103003.0,-0.0450175125228036,-0.635594342733555,1.7787057903098995,9.131623729526806e-05,0.0002104333604896,-3.6203073898914175e-05,0.9999999730342412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252458224374,1719568252.0,458111761.0,,,,,,,,,,,,,,,,-0.0770055520930901,-0.0626756246534299,-0.1314457596368612,0.1647303150770092,-0.0015487374325121,-0.0003238863939658,0.0055827062800834,0.0058025941992133,,,,,,,,,,,,,,
1719568252458851432,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.499,1729.24,,,,,,,,,,,
1719568252458902938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642086,0.607572,0.38659,0.690856,,,,,,,
1719568252459126230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20395,88.4146,93.967,60.3022
1719568252459973896,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.499,1729.24,,,,,,,,,,,
1719568252460045519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642086,0.607572,0.38659,0.690856,,,,,,,
1719568252460329034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20395,88.4146,93.967,60.3022
1719568252463205611,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.499,1729.24,,,,,,,,,,,
1719568252463283428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642086,0.607572,0.38659,0.690856,,,,,,,
1719568252463551009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20395,88.4146,93.967,60.3022
1719568252466450757,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.502,1729.24,,,,,,,,,,,
1719568252466509942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642143,0.607571,0.386588,0.690858,,,,,,,
1719568252466567100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252468131516,1719568252.0,468036785.0,,,,,,,,-9.345792561760158e-05,0.0003943855263432,0.0004172946382574,0.0005817294408642,0.0011231959952883,3.344054828931431e-05,0.0004034325613653,0.0011939201588345,,,,,,,,,,,,,,,,,,,,,,
1719568252468137991,1719568252.0,468006114.0,-0.0450182913388504,-0.6355910561875021,1.7787092677652183,9.59958617052868e-05,0.0002105730190306,-3.4521132837101206e-05,0.9999999726260445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252468143103,1719568252.0,468044484.0,,,,,,,,,,,,,,,,0.0194232099268276,-0.0391229516655045,0.1059882985728677,0.1146358838464395,0.0022498761705519,0.0007216586806925,-0.0033762235081186,0.0041208760247075,,,,,,,,,,,,,,
1719568252468148508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5447,-28.7337,-8.20375,88.4149,93.9666,60.3017
1719568252470887289,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252470933921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642147,0.607571,0.386591,0.690856,,,,,,,
1719568252471014662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252471215269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20395,88.4146,93.9666,60.3017
1719568252472048856,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252472139095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642147,0.607571,0.386591,0.690856,,,,,,,
1719568252472237728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252473493689,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252474056249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252474064330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642147,0.607571,0.386591,0.690856,,,,,,,
1719568252474325141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20395,88.4146,93.9666,60.3017
1719568252478129035,1719568252.0,478024644.0,,,,,,,,-0.0006671749433184,-0.000679273329931,-0.0005509263390557,0.0011000247691815,-0.0015738031300857,-0.0009198088328673,0.0007806045940944,0.0019829896907472,,,,,,,,,,,,,,,,,,,,,,
1719568252478135588,1719568252.0,478009611.0,-0.0450238511300447,-0.6355967167985849,1.7787046767123929,8.943779625030264e-05,0.0002067405681804,-3.126962671057956e-05,0.999999974140714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252478140039,1719568252.0,478030243.0,,,,,,,,,,,,,,,,-0.0688460421241043,-0.1288390627529168,-0.1161865172775833,0.1866509801857417,-0.0026969974704226,-0.0009532556798872,0.0003771679473318,0.0028852638366703,,,,,,,,,,,,,,
1719568252478258727,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.498,1729.24,,,,,,,,,,,
1719568252478353633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642121,0.60757,0.38659,0.690858,,,,,,,
1719568252478416416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252478633342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7339,-8.20387,88.4149,93.9669,60.3018
1719568252481809308,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.502,1729.24,,,,,,,,,,,
1719568252481841886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642146,0.607571,0.386588,0.690858,,,,,,,
1719568252481901499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252482137214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20387,88.4149,93.9665,60.3018
1719568252483124844,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.499,1729.24,,,,,,,,,,,
1719568252483169124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642119,0.607574,0.386588,0.690855,,,,,,,
1719568252483356832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7339,-8.20387,88.4144,93.9666,60.302
1719568252484200259,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.499,1729.24,,,,,,,,,,,
1719568252486031357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642119,0.607574,0.386588,0.690855,,,,,,,
1719568252486084784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252486300525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7339,-8.20387,88.4144,93.9666,60.302
1719568252488116276,1719568252.0,488027918.0,,,,,,,,-0.0004010572154294,-0.0015418332479555,-5.773441327683315e-05,0.0015941862868013,0.0001437951754008,0.0004040513394412,0.0005174020227696,0.0006720412119348,,,,,,,,,,,,,,,,,,,,,,
1719568252488123385,1719568252.0,488008708.0,-0.0450271932735066,-0.6356095654089845,1.7787041955922822,9.00364444547833e-05,0.0002084243269325,-2.911381170952276e-05,0.999999973802562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
