Objects
300
,,Global Angle abb4400_tcp:abb4400_tcp,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
310,0,0.725376,2.037565,0.029272,42.222633,-1034.828125,2034.261963
311,0,0.725420,2.037569,0.029301,42.220795,-1034.815674,2034.260254
312,0,0.725426,2.037563,0.029307,42.221691,-1034.820068,2034.260254
313,0,0.725410,2.037575,0.029299,42.225338,-1034.819458,2034.258179
314,0,0.725418,2.037573,0.029284,42.223942,-1034.819092,2034.258179
315,0,0.725409,2.037552,0.029315,42.222160,-1034.823486,2034.254517
316,0,0.725421,2.037572,0.029289,42.221741,-1034.828125,2034.254272
317,0,0.725384,2.037585,0.029310,42.221790,-1034.831055,2034.254028
318,0,0.725428,2.037565,0.029295,42.222275,-1034.833252,2034.250244
319,0,0.725442,2.037576,0.029313,42.221245,-1034.839600,2034.250244
320,0,0.725413,2.037566,0.029269,42.220673,-1034.842285,2034.249512
321,0,0.725385,2.037622,0.029326,42.216831,-1034.833740,2034.248779
322,0,0.725389,2.037578,0.029250,42.222038,-1034.843872,2034.247925
323,0,0.725401,2.037558,0.029277,42.218712,-1034.835938,2034.248291
324,0,0.725428,2.037582,0.029275,42.218319,-1034.835571,2034.250000
325,0,0.725439,2.037597,0.029268,42.219330,-1034.834961,2034.249756
326,0,0.725432,2.037570,0.029235,42.217255,-1034.831543,2034.253784
327,0,0.725403,2.037553,0.029280,42.219299,-1034.831665,2034.255737
328,0,0.725407,2.037595,0.029284,42.219646,-1034.833252,2034.255493
329,0,0.725401,2.037585,0.029295,42.219128,-1034.830200,2034.258545
330,0,0.725439,2.037566,0.029262,42.220081,-1034.835938,2034.257690
331,0,0.725398,2.037571,0.029307,42.220196,-1034.834717,2034.260986
332,0,0.725404,2.037564,0.029267,42.218616,-1034.834473,2034.260010
333,0,0.725451,2.037571,0.029296,42.215000,-1034.833496,2034.263428
334,0,0.725425,2.037572,0.029278,42.213326,-1034.832031,2034.262695
335,0,0.725443,2.037569,0.029298,42.209747,-1034.832275,2034.264526
336,0,0.725411,2.037553,0.029276,42.213020,-1034.828369,2034.263184
337,0,0.725427,2.037549,0.029269,42.212639,-1034.835083,2034.262695
338,0,0.725407,2.037557,0.029291,42.213367,-1034.836548,2034.263184
339,0,0.725420,2.037578,0.029282,42.215855,-1034.838745,2034.262207
340,0,0.725445,2.037575,0.029276,42.215168,-1034.830200,2034.261475
341,0,0.725448,2.037555,0.029262,42.215557,-1034.830933,2034.261475
342,0,0.725418,2.037585,0.029301,42.218056,-1034.833130,2034.262695
343,0,0.725414,2.037565,0.029289,42.216965,-1034.837158,2034.259277
344,0,0.725430,2.037570,0.029287,42.218803,-1034.842163,2034.260254
345,0,0.725439,2.037553,0.029303,42.219212,-1034.842529,2034.257935
346,0,0.725428,2.037575,0.029274,42.218868,-1034.846313,2034.256958
347,0,0.725420,2.037582,0.029299,42.220493,-1034.849243,2034.252441
348,0,0.725415,2.037586,0.029281,42.221111,-1034.854126,2034.249268
349,0,0.725442,2.037575,0.029288,42.222801,-1034.860962,2034.244019
350,0,0.725411,2.037590,0.029286,42.224636,-1034.862549,2034.243530
351,0,0.725444,2.037568,0.029287,42.221313,-1034.863525,2034.243530
352,0,0.725416,2.037577,0.029297,42.221657,-1034.861206,2034.246704
353,0,0.725431,2.037585,0.029298,42.220264,-1034.858521,2034.246948
354,0,0.725427,2.037589,0.029312,42.221806,-1034.853760,2034.248535
355,0,0.725377,2.037560,0.029324,42.216003,-1034.848022,2034.253174
356,0,0.725399,2.037579,0.029290,42.217068,-1034.850464,2034.251465
357,0,0.725393,2.037586,0.029311,42.215240,-1034.846069,2034.254272
358,0,0.725411,2.037554,0.029296,42.213581,-1034.847168,2034.258423
359,0,0.725442,2.037574,0.029284,42.218250,-1034.841797,2034.260254
360,0,0.725385,2.037561,0.029320,42.217487,-1034.839600,2034.263184
361,0,0.725408,2.037567,0.029297,42.215549,-1034.841675,2034.265991
362,0,0.725446,2.037556,0.029282,42.213051,-1034.831421,2034.265991
363,0,0.725425,2.037578,0.029358,42.213020,-1034.837646,2034.264771
364,0,0.725397,2.037575,0.029260,42.214272,-1034.833374,2034.262451
365,0,0.725419,2.037570,0.029288,42.215694,-1034.840698,2034.261719
366,0,0.725451,2.037556,0.029301,42.218060,-1034.852051,2034.255981
367,0,0.725394,2.037571,0.029319,42.218517,-1034.857178,2034.251709
368,0,0.725422,2.037587,0.029308,42.217354,-1034.850708,2034.247681
