timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z,aq_x,aq_y,aq_z,aq_w
1720702092044817724,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.998,1850.0,,,,,,,,,,,,,,,,,,
1720702092044833589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386589,0.690856,0.0642124,,,,,,,,,,,,,,
1720702092046474060,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.998,1850.0,,,,,,,,,,,,,,,,,,
1720702092046486751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092048169389,1720702092.0,47927378.0,,,,,,,,-0.254138607352905,0.8547823687227174,1.2548748000273946,1.539464222828932,-0.0024935528341885,-0.0006156932070057,-7.439823126356649e-05,0.0025695172618329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092048180489,1720702092.0,47852331.0,229.0820115558342,119.58969946706102,1906.354023274986,0.0013405690024113,0.0027320258654111,0.0210673035312154,0.99977342814827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092048187471,1720702092.0,47939863.0,,,,,,,,,,,,,,,,-0.0760776954764064,0.1254077963976085,0.1319617175066234,0.1973038925961744,-0.0043060029979707,-0.0008317228200901,0.0020210206057304,0.0048288662185629,,,,,,,,,,,,,,,,,,,,,
1720702092048754062,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.998,1850.0,,,,,,,,,,,,,,,,,,
1720702092048773834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607568,0.386589,0.690859,0.0642146,,,,,,,,,,,,,,
1720702092049059885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.7438,-9.981,79.5504,52.7278,66.4785,,,,,,,
1720702092050412988,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092050425521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386587,0.690858,0.0642151,,,,,,,,,,,,,,
1720702092052878501,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092052891438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386587,0.690858,0.0642151,,,,,,,,,,,,,,
1720702092052924867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092054525016,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.003,1850.0,,,,,,,,,,,,,,,,,,
1720702092054537771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092057225833,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092057245431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386591,0.690857,0.0642164,,,,,,,,,,,,,,
1720702092057625349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.74401,-9.98087,79.5499,52.7279,66.4785,,,,,,,
